LBI,WDI,FLA,PSF,FSF,ZDF1,PROZD
1.2093589743589745,2.6,117.34666666666666,42.4,24.2,47.1,69
1.23,3.59,122.0,0.0,40.0,40.0,30
1.24,2.9,121.0,16.0,20.7,29.7,72
1.07,3.1,114.0,44.0,2.6,26.3,68
1.08,2.4,105.0,32.6,5.8,10.7,42
1.39,2.78,126.0,14.0,0.0,50.0,78
1.31,2.1,119.0,15.7,15.7,30.4,72
1.27,3.5,116.0,16.8,23.0,35.2,69
1.11,2.9,113.0,15.8,15.8,15.0,57
1.32,2.57,121.0,22.0,2.0,18.0,63
1.16,2.3,131.0,7.5,14.9,6.0,60
1.23,2.83,121.0,27.9,6.7,31.7,67
1.24,3.6,113.0,5.3,21.1,60.0,86
1.2,3.4,108.0,37.4,9.9,39.9,71
1.33,2.3,120.0,13.5,6.9,38.3,72
1.11,3.51,123.0,67.2,2.5,5.9,46
1.14,2.9,116.0,5.3,55.3,63.2,84
1.16,3.0,116.0,3.5,23.7,64.8,85
1.22,3.0,116.0,6.0,39.7,50.2,78
1.23,2.9,116.0,8.0,24.0,60.0,87
1.25,2.8,118.0,7.5,37.7,43.9,78
1.19,2.4,115.0,0.0,33.3,58.7,82
1.11,3.6,112.0,2.5,22.7,92.3,98
1.22,2.6,117.34666666666666,46.3,0.0,63.6,82
1.07,4.15,117.0,0.0,28.5,61.9,92
1.31,3.83,114.0,14.0,14.0,57.0,86
1.24,3.36,125.0,45.5,9.0,18.2,55
1.17,2.52,125.0,18.9,15.8,21.1,58
1.11,2.5,124.0,10.7,25.0,25.0,74
1.41,3.2,118.0,25.5,15.5,26.8,72
1.26,3.2,118.0,16.3,6.7,28.9,69
1.24,3.7,111.0,5.6,21.5,72.2,91
1.21,3.8,116.0,1.2,32.5,83.3,94
1.21,3.9,110.0,1.6,35.5,94.1,95
1.28,3.44,110.0,0.0,15.0,40.0,98
1.17,3.97,111.0,1.2,50.0,75.6,90
1.31,2.28,126.0,2.1,18.6,34.0,77
1.2,3.0,121.0,0.0,0.0,25.1,61
1.02,2.46,123.0,37.5,18.8,18.8,66
1.04,3.1,120.0,28.6,12.7,15.9,62
1.15,2.7,124.0,16.3,20.2,26.2,63
1.08,3.6,128.0,35.7,0.0,14.3,36
1.16,3.12,117.0,15.0,19.6,19.6,65
1.2,2.6,122.0,12.7,20.1,23.6,64
1.18,4.9,108.0,20.6,6.9,61.8,84
1.12,4.1,117.0,6.9,22.5,63.7,85
1.3,3.4,112.0,3.8,25.4,68.9,87
1.12,3.7,115.0,5.8,13.9,80.6,92
1.29,1.99,121.0,22.2,11.1,30.6,77
1.26,2.41,121.0,31.7,20.2,24.0,62
1.03,3.5,115.0,2.1,17.2,78.0,92
1.15,3.8,112.0,3.8,26.2,76.3,91
1.14,3.7,115.0,0.8,27.1,77.8,91
1.18,2.8,112.0,2.4,22.0,78.0,92
1.44,3.13,116.0,7.7,29.2,59.3,88
1.47,3.08,118.0,10.1,27.8,53.3,86
1.45,3.24,117.0,5.2,26.7,56.5,87
1.06,3.84,125.0,59.2,2.9,9.7,52
1.24,2.7,117.34666666666666,0.0,0.0,66.7,85
1.17,3.2,114.0,4.1,21.5,73.9,90
1.14,3.3,112.0,4.7,17.7,76.2,90
1.22,3.8,113.0,5.7,32.2,60.8,83
1.38,3.3,115.0,14.4,19.2,59.5,84
1.34,3.4,112.0,23.1,19.2,55.2,72
1.22,2.3,117.34666666666666,56.9,13.7,67.8,87
1.39,3.1,107.0,10.8,27.0,76.2,88
1.04,2.6,116.0,29.2,2.5,19.2,67
1.17,2.5,107.0,41.1,0.5,16.8,50
1.69,1.66,123.0,0.0,0.0,40.0,92
1.14,3.1,118.0,11.4,12.1,52.1,80
1.06,3.0,116.0,16.7,12.5,50.0,74
1.16,3.0,127.0,36.4,10.2,9.4,53
1.1,3.72,107.0,23.7,10.4,51.8,85
1.09,2.25,119.0,8.5,7.0,23.0,90
1.04,2.7,118.0,33.3,5.1,28.2,66
1.14,2.07,121.0,15.0,10.0,5.0,47
1.24,3.0,120.0,29.1,13.8,34.4,70
1.15,2.25,125.0,9.5,6.4,13.0,88
1.37,3.22,125.0,12.6,21.5,28.6,61
